// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

GC:  48 7 0 228361808 128


Mean = 7.5876 ms, StdErr = 0.0143 ms (0.19%); N = 15, StdDev = 0.0552 ms
Min = 7.4784 ms, Q1 = 7.5450 ms, Median = 7.5864 ms, Q3 = 7.6286 ms, Max = 7.6852 ms
IQR = 0.0836 ms, LowerFence = 7.4195 ms, UpperFence = 7.7541 ms
ConfidenceInterval = [7.5286 ms; 7.6466 ms] (CI 99.9%), Margin = 0.0590 ms (0.78% of Mean)
Skewness = -0.13, Kurtosis = 2.22, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.OrleansBenchmarks-report.csv
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.OrleansBenchmarks-report-github.md
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.OrleansBenchmarks-report.html

// * Detailed results *
OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
Runtime = ; GC = 
Mean = 12.6847 us, StdErr = 0.0707 us (0.56%); N = 16, StdDev = 0.2826 us
Min = 12.4032 us, Q1 = 12.5080 us, Median = 12.6030 us, Q3 = 12.8599 us, Max = 13.5312 us
IQR = 0.3519 us, LowerFence = 11.9801 us, UpperFence = 13.3878 us
