// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 5 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomClassPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomNonRefPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomRefPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

OverheadActual  14: 8388608 op, 45676700.00 ns, 5.4451 ns/op
OverheadActual  15: 8388608 op, 45491500.00 ns, 5.4230 ns/op

WorkloadWarmup   1: 8388608 op, 841003100.00 ns, 100.2554 ns/op
WorkloadWarmup   2: 8388608 op, 826510600.00 ns, 98.5277 ns/op
WorkloadWarmup   3: 8388608 op, 865674700.00 ns, 103.1965 ns/op
WorkloadWarmup   4: 8388608 op, 818865600.00 ns, 97.6164 ns/op
WorkloadWarmup   5: 8388608 op, 820942600.00 ns, 97.8640 ns/op
WorkloadWarmup   6: 8388608 op, 897913400.00 ns, 107.0396 ns/op
WorkloadWarmup   7: 8388608 op, 891051400.00 ns, 106.2216 ns/op

WorkloadActual   1: 8388608 op, 825345300.00 ns, 98.3888 ns/op
WorkloadActual   2: 8388608 op, 827276500.00 ns, 98.6190 ns/op
WorkloadActual   3: 8388608 op, 832083800.00 ns, 99.1921 ns/op
WorkloadActual   4: 8388608 op, 831965300.00 ns, 99.1780 ns/op
WorkloadActual   5: 8388608 op, 848313200.00 ns, 101.1268 ns/op
WorkloadActual   6: 8388608 op, 821580300.00 ns, 97.9400 ns/op
WorkloadActual   7: 8388608 op, 824800800.00 ns, 98.3239 ns/op
WorkloadActual   8: 8388608 op, 817135700.00 ns, 97.4102 ns/op
WorkloadActual   9: 8388608 op, 820776400.00 ns, 97.8442 ns/op
WorkloadActual  10: 8388608 op, 821327300.00 ns, 97.9098 ns/op
WorkloadActual  11: 8388608 op, 832014700.00 ns, 99.1839 ns/op
WorkloadActual  12: 8388608 op, 831149100.00 ns, 99.0807 ns/op
